"DATE","TITLE","ACTIVITY"
"Jan 28, 2017 02:16","Part 3a - Statement of Transfers to a Registered Party, Another Registered Association, a Candidate, a Leadership Contestant or a Nomination Contestant",""

GROUP_DATA
"Client_id","Registered_association","Fiscal_period",
"17398","Compton--Stanstead Conservative Association","2009",
"19067","Compton--Stanstead Conservative Association","2010",
"20609","Compton--Stanstead Conservative Association","2011",
"23881","Compton--Stanstead Conservative Association","2012",
"25294","Compton--Stanstead Conservative Association","2013",
"26780","Compton--Stanstead Conservative Association","2014",
"12617","Compton--Stanstead Federal Green Party Association","2007",
"14592","Compton--Stanstead Federal Green Party Association","2008",
"17869","Compton--Stanstead Federal Green Party Association","2009",
"11765","Compton--Stanstead Federal Liberal Association","2007",
"13749","Compton--Stanstead Federal Liberal Association","2008",
"17039","Compton--Stanstead Federal Liberal Association","2009",
"18707","Compton--Stanstead Federal Liberal Association","2010",
"20258","Compton--Stanstead Federal Liberal Association","2011",
"27556","Compton--Stanstead Federal Liberal Association","2014",
"12505","Compton--Stanstead Federal NDP Riding Association","2007",
"14484","Compton--Stanstead Federal NDP Riding Association","2008",
"17772","Compton--Stanstead Federal NDP Riding Association","2009",
"19440","Compton--Stanstead Federal NDP Riding Association","2010",
"20973","Compton--Stanstead Federal NDP Riding Association","2011",
"24239","Compton--Stanstead Federal NDP Riding Association","2012",
"25645","Compton--Stanstead Federal NDP Riding Association","2013",
"27128","Compton--Stanstead Federal NDP Riding Association","2014",
"27627","Conservative Association of Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","2014",
"12118","Conservative Party of Canada Carleton--Mississippi Mills","2007",
"14101","Conservative Party of Canada Carleton--Mississippi Mills","2008",
"17390","Conservative Party of Canada Carleton--Mississippi Mills","2009",
"19059","Conservative Party of Canada Carleton--Mississippi Mills","2010",
"20601","Conservative Party of Canada Carleton--Mississippi Mills","2011",
"23873","Conservative Party of Canada Carleton--Mississippi Mills","2012",
"25286","Conservative Party of Canada Carleton--Mississippi Mills","2013",
"26772","Conservative Party of Canada Carleton--Mississippi Mills","2014",
"12060","Conservative Party of Canada Edmonton East Electoral District Association","2007",
"14043","Conservative Party of Canada Edmonton East Electoral District Association","2008",
"17332","Conservative Party of Canada Edmonton East Electoral District Association","2009",
"19001","Conservative Party of Canada Edmonton East Electoral District Association","2010",
"20544","Conservative Party of Canada Edmonton East Electoral District Association","2011",
"23816","Conservative Party of Canada Edmonton East Electoral District Association","2012",
"25229","Conservative Party of Canada Edmonton East Electoral District Association","2013",
"26715","Conservative Party of Canada Edmonton East Electoral District Association","2014",
"12036","Conservative Party of Canada Electoral District Association Ottawa--Orléans","2007",
"14019","Conservative Party of Canada Electoral District Association Ottawa--Orléans","2008",
"17308","Conservative Party of Canada Electoral District Association Ottawa--Orléans","2009",
"18977","Conservative Party of Canada Electoral District Association Ottawa--Orléans","2010",
"20520","Conservative Party of Canada Electoral District Association Ottawa--Orléans","2011",
"23792","Conservative Party of Canada Electoral District Association Ottawa--Orléans","2012",
"25205","Conservative Party of Canada Electoral District Association Ottawa--Orléans","2013",
"26691","Conservative Party of Canada Electoral District Association Ottawa--Orléans","2014",
"12251","Conservative Party of Canada Fredericton Electoral District Association","2007",
"14231","Conservative Party of Canada Fredericton Electoral District Association","2008",
"17520","Conservative Party of Canada Fredericton Electoral District Association","2009",
"19189","Conservative Party of Canada Fredericton Electoral District Association","2010",
"20730","Conservative Party of Canada Fredericton Electoral District Association","2011",
"24002","Conservative Party of Canada Fredericton Electoral District Association","2012",
"25413","Conservative Party of Canada Fredericton Electoral District Association","2013",
"26899","Conservative Party of Canada Fredericton Electoral District Association","2014",
"12105","Conservative Party of Canada Lac-Saint-Louis Electoral District Association","2007",
"14088","Conservative Party of Canada Lac-Saint-Louis Electoral District Association","2008",
"17377","Conservative Party of Canada Lac-Saint-Louis Electoral District Association","2009",
"19046","Conservative Party of Canada Lac-Saint-Louis Electoral District Association","2010",
"20588","Conservative Party of Canada Lac-Saint-Louis Electoral District Association","2011",
"23860","Conservative Party of Canada Lac-Saint-Louis Electoral District Association","2012",
"25273","Conservative Party of Canada Lac-Saint-Louis Electoral District Association","2013",
"12029","Conservative Party of Canada Langley Electoral District Association","2007",
"14012","Conservative Party of Canada Langley Electoral District Association","2008",
"17301","Conservative Party of Canada Langley Electoral District Association","2009",
"18970","Conservative Party of Canada Langley Electoral District Association","2010",
"20513","Conservative Party of Canada Langley Electoral District Association","2011",
"23785","Conservative Party of Canada Langley Electoral District Association","2012",
"25198","Conservative Party of Canada Langley Electoral District Association","2013",
"26684","Conservative Party of Canada Langley Electoral District Association","2014",
"27703","Conservative Party of Canada Langley--Aldergrove Electoral District Association","2014",
"18054","Conservative Party of Canada Nunavut Electoral District Association","2009",
"19632","Conservative Party of Canada Nunavut Electoral District Association","2010",
"21134","Conservative Party of Canada Nunavut Electoral District Association","2011",
"24387","Conservative Party of Canada Nunavut Electoral District Association","2012",
"25787","Conservative Party of Canada Nunavut Electoral District Association","2013",
"27261","Conservative Party of Canada Nunavut Electoral District Association","2014",
"12258","Conservative Party of Canada Vancouver South EDA","2007",
"14238","Conservative Party of Canada Vancouver South EDA","2008",
"17527","Conservative Party of Canada Vancouver South EDA","2009",
"19196","Conservative Party of Canada Vancouver South EDA","2010",
"20737","Conservative Party of Canada Vancouver South EDA","2011",
"24009","Conservative Party of Canada Vancouver South EDA","2012",
"25420","Conservative Party of Canada Vancouver South EDA","2013",
"26906","Conservative Party of Canada Vancouver South EDA","2014",
"27600","Coquitlam--Port Coquitlam Federal Liberal Association","2014",
"27656","Courtenay--Alberni Conservative Association","2014",
"27388","Courtenay--Alberni Federal Liberal Association","2014",
"27702","Cowichan--Malahat--Langford Conservative Association","2014",
"27389","Cowichan--Malahat--Langford Federal Liberal Association","2014",
"12053","Crowfoot Conservative Association","2007",
"14036","Crowfoot Conservative Association","2008",
"17325","Crowfoot Conservative Association","2009",
"18994","Crowfoot Conservative Association","2010",
"20537","Crowfoot Conservative Association","2011",
"23809","Crowfoot Conservative Association","2012",
"25222","Crowfoot Conservative Association","2013",
"12581","Crowfoot Federal Green Party Association","2007",
"18119","Crowfoot Federal Green Party Association","2009",
"19659","Crowfoot Federal Green Party Association","2010",
"21156","Crowfoot Federal Green Party Association","2011",
"11627","Crowfoot Federal Liberal Association","2007",
"13611","Crowfoot Federal Liberal Association","2008",
"16901","Crowfoot Federal Liberal Association","2009",
"18569","Crowfoot Federal Liberal Association","2010",
"21873","Crowfoot Federal Liberal Association","2011",
"24441","Crowfoot Federal Liberal Association","2012",
"25835","Crowfoot Federal Liberal Association","2013",
"27300","Crowfoot Federal Liberal Association","2014",
"11880","Crowfoot Federal NDP Riding Association","2007",
"13864","Crowfoot Federal NDP Riding Association","2008",
"17154","Crowfoot Federal NDP Riding Association","2009",
"18822","Crowfoot Federal NDP Riding Association","2010",
"20373","Crowfoot Federal NDP Riding Association","2011",
"23645","Crowfoot Federal NDP Riding Association","2012",
"25060","Crowfoot Federal NDP Riding Association","2013",
"26547","Crowfoot Federal NDP Riding Association","2014",
"27535","Cumberland--Colchester Federal Liberal Association","2014",
"12403","Cumberland--Colchester--Musquodoboit Valley Conservative Association","2007",
"14382","Cumberland--Colchester--Musquodoboit Valley Conservative Association","2008",
"17671","Cumberland--Colchester--Musquodoboit Valley Conservative Association","2009",
"19340","Cumberland--Colchester--Musquodoboit Valley Conservative Association","2010",
"20877","Cumberland--Colchester--Musquodoboit Valley Conservative Association","2011",
"24147","Cumberland--Colchester--Musquodoboit Valley Conservative Association","2012",
"25553","Cumberland--Colchester--Musquodoboit Valley Conservative Association","2013",
"27038","Cumberland--Colchester--Musquodoboit Valley Conservative Association","2014",
"12298","Cumberland--Colchester--Musquodoboit Valley Federal Liberal Association","2007",
"14278","Cumberland--Colchester--Musquodoboit Valley Federal Liberal Association","2008",
"17567","Cumberland--Colchester--Musquodoboit Valley Federal Liberal Association","2009",
"19236","Cumberland--Colchester--Musquodoboit Valley Federal Liberal Association","2010",
"20776","Cumberland--Colchester--Musquodoboit Valley Federal Liberal Association","2011",
"24543","Cumberland--Colchester--Musquodoboit Valley Federal Liberal Association","2012",
"25840","Cumberland--Colchester--Musquodoboit Valley Federal Liberal Association","2013",
"27305","Cumberland--Colchester--Musquodoboit Valley Federal Liberal Association","2014",
"11751","Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association","2007",
"13735","Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association","2008",
"17025","Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association","2009",
"18693","Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association","2010",
"20245","Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association","2011",
"23519","Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association","2012",
"24937","Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association","2013",
"26425","Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association","2014",
"12567","Cumberland--Colchester--Musquodoboit Valley Federal PC Association","2007",
"14544","Cumberland--Colchester--Musquodoboit Valley Federal PC Association","2008",
"12768","Cumberland--Colchester--Musquodoboit Valley Green Party Association","2007",
"14626","Cumberland--Colchester--Musquodoboit Valley Green Party Association","2008",
"17900","Cumberland--Colchester--Musquodoboit Valley Green Party Association","2009",
"19561","Cumberland--Colchester--Musquodoboit Valley Green Party Association","2010",
"21078","Cumberland--Colchester--Musquodoboit Valley Green Party Association","2011",
"24339","Cumberland--Colchester--Musquodoboit Valley Green Party Association","2012",
"25741","Cumberland--Colchester--Musquodoboit Valley Green Party Association","2013",
"27219","Cumberland--Colchester--Musquodoboit Valley Green Party Association","2014",
"12002","Cypress Hills--Grasslands Conservative Association","2007",
"13985","Cypress Hills--Grasslands Conservative Association","2008",
"17274","Cypress Hills--Grasslands Conservative Association","2009",
"18943","Cypress Hills--Grasslands Conservative Association","2010",
"20486","Cypress Hills--Grasslands Conservative Association","2011",
"23758","Cypress Hills--Grasslands Conservative Association","2012",
"25171","Cypress Hills--Grasslands Conservative Association","2013",
"26657","Cypress Hills--Grasslands Conservative Association","2014",
"18113","Cypress Hills--Grasslands Federal Green Party Association","2009",
"19651","Cypress Hills--Grasslands Federal Green Party Association","2010",
"21149","Cypress Hills--Grasslands Federal Green Party Association","2011",
"11800","Cypress Hills--Grasslands Federal Liberal Association","2007",
"13784","Cypress Hills--Grasslands Federal Liberal Association","2008",
"17074","Cypress Hills--Grasslands Federal Liberal Association","2009",
"18742","Cypress Hills--Grasslands Federal Liberal Association","2010",
"20293","Cypress Hills--Grasslands Federal Liberal Association","2011",
"23565","Cypress Hills--Grasslands Federal Liberal Association","2012",
"24980","Cypress Hills--Grasslands Federal Liberal Association","2013",
"27591","Cypress Hills--Grasslands Federal Liberal Association","2014",
"26467","Cypress Hills--Grasslands Federal Liberal Association","2014",
"11652","Cypress Hills--Grasslands Federal NDP Riding Association","2007",
"13636","Cypress Hills--Grasslands Federal NDP Riding Association","2008",
"16926","Cypress Hills--Grasslands Federal NDP Riding Association","2009",
"18594","Cypress Hills--Grasslands Federal NDP Riding Association","2010",
"20146","Cypress Hills--Grasslands Federal NDP Riding Association","2011",
"23421","Cypress Hills--Grasslands Federal NDP Riding Association","2012",
"24839","Cypress Hills--Grasslands Federal NDP Riding Association","2013",
"26327","Cypress Hills--Grasslands Federal NDP Riding Association","2014",
"12081","Dartmouth--Cole Harbour Conservative Association","2007",
"14064","Dartmouth--Cole Harbour Conservative Association","2008",
"17353","Dartmouth--Cole Harbour Conservative Association","2009",
"19022","Dartmouth--Cole Harbour Conservative Association","2010",
"20565","Dartmouth--Cole Harbour Conservative Association","2011",
"23837","Dartmouth--Cole Harbour Conservative Association","2012",
"25250","Dartmouth--Cole Harbour Conservative Association","2013",
"26736","Dartmouth--Cole Harbour Conservative Association","2014",
"12744","Dartmouth--Cole Harbour Federal Green Party Association","2007",
"14572","Dartmouth--Cole Harbour Federal Green Party Association","2008",
"17851","Dartmouth--Cole Harbour Federal Green Party Association","2009",
"19514","Dartmouth--Cole Harbour Federal Green Party Association","2010",
"21037","Dartmouth--Cole Harbour Federal Green Party Association","2011",
"24300","Dartmouth--Cole Harbour Federal Green Party Association","2012",
"25704","Dartmouth--Cole Harbour Federal Green Party Association","2013",
"11779","Dartmouth--Cole Harbour Federal Liberal Association","2007",
"13763","Dartmouth--Cole Harbour Federal Liberal Association","2008",
"17053","Dartmouth--Cole Harbour Federal Liberal Association","2009",
"18721","Dartmouth--Cole Harbour Federal Liberal Association","2010",
"20272","Dartmouth--Cole Harbour Federal Liberal Association","2011",
"23544","Dartmouth--Cole Harbour Federal Liberal Association","2012",
"24960","Dartmouth--Cole Harbour Federal Liberal Association","2013",
"26448","Dartmouth--Cole Harbour Federal Liberal Association","2014",
"27532","Dartmouth--Cole Harbour Federal Liberal Association","2014",
"11823","Dartmouth--Cole Harbour Federal NDP Riding Association","2007",
"13807","Dartmouth--Cole Harbour Federal NDP Riding Association","2008",
"17097","Dartmouth--Cole Harbour Federal NDP Riding Association","2009",
"18765","Dartmouth--Cole Harbour Federal NDP Riding Association","2010",
"20316","Dartmouth--Cole Harbour Federal NDP Riding Association","2011",
"23588","Dartmouth--Cole Harbour Federal NDP Riding Association","2012",
"25003","Dartmouth--Cole Harbour Federal NDP Riding Association","2013",
"26490","Dartmouth--Cole Harbour Federal NDP Riding Association","2014",
"12529","Dartmouth--Cole Harbour PC Association","2007",
"12311","Dauphin--Swan River--Marquette Conservative Association","2007",
"14291","Dauphin--Swan River--Marquette Conservative Association","2008",
"17580","Dauphin--Swan River--Marquette Conservative Association","2009",
"19249","Dauphin--Swan River--Marquette Conservative Association","2010",
"20789","Dauphin--Swan River--Marquette Conservative Association","2011",
"24060","Dauphin--Swan River--Marquette Conservative Association","2012",
"25468","Dauphin--Swan River--Marquette Conservative Association","2013",
"26953","Dauphin--Swan River--Marquette Conservative Association","2014",
"12592","Dauphin--Swan River--Marquette Federal Green Party Association","2007",
"14567","Dauphin--Swan River--Marquette Federal Green Party Association","2008",
"17846","Dauphin--Swan River--Marquette Federal Green Party Association","2009",
"19510","Dauphin--Swan River--Marquette Federal Green Party Association","2010",
"21034","Dauphin--Swan River--Marquette Federal Green Party Association","2011",
"24297","Dauphin--Swan River--Marquette Federal Green Party Association","2012",
"25701","Dauphin--Swan River--Marquette Federal Green Party Association","2013",
"27183","Dauphin--Swan River--Marquette Federal Green Party Association","2014",
"11519","Dauphin--Swan River--Marquette Federal Liberal Association","2007",
"13504","Dauphin--Swan River--Marquette Federal Liberal Association","2008",
"16794","Dauphin--Swan River--Marquette Federal Liberal Association","2009",
"18463","Dauphin--Swan River--Marquette Federal Liberal Association","2010",
"20022","Dauphin--Swan River--Marquette Federal Liberal Association","2011",
"23297","Dauphin--Swan River--Marquette Federal Liberal Association","2012",
"24718","Dauphin--Swan River--Marquette Federal Liberal Association","2013",
"26213","Dauphin--Swan River--Marquette Federal Liberal Association","2014",
"11738","Dauphin--Swan River--Marquette Federal NDP Riding Association","2007",
"13722","Dauphin--Swan River--Marquette Federal NDP Riding Association","2008",
"17012","Dauphin--Swan River--Marquette Federal NDP Riding Association","2009",
"18680","Dauphin--Swan River--Marquette Federal NDP Riding Association","2010",
"20232","Dauphin--Swan River--Marquette Federal NDP Riding Association","2011",
"23506","Dauphin--Swan River--Marquette Federal NDP Riding Association","2012",
"24924","Dauphin--Swan River--Marquette Federal NDP Riding Association","2013",
"26412","Dauphin--Swan River--Marquette Federal NDP Riding Association","2014",
"27587","Dauphin--Swan River--Neepawa Federal Liberal Association","2014",
"12408","Davenport Conservative Association","2007",
"14387","Davenport Conservative Association","2008",
"17676","Davenport Conservative Association","2009",
"19345","Davenport Conservative Association","2010",
"20881","Davenport Conservative Association","2011",
"24150","Davenport Conservative Association","2012",
"25556","Davenport Conservative Association","2013",
"27041","Davenport Conservative Association","2014",
"12202","Davenport Federal Green Party Association","2007",
"14183","Davenport Federal Green Party Association","2008",
"17472","Davenport Federal Green Party Association","2009",
"19141","Davenport Federal Green Party Association","2010",
"20682","Davenport Federal Green Party Association","2011",
"23954","Davenport Federal Green Party Association","2012",
"25366","Davenport Federal Green Party Association","2013",
"26852","Davenport Federal Green Party Association","2014",
"11596","Davenport Federal Liberal Association","2007",
"13580","Davenport Federal Liberal Association","2008",
"16870","Davenport Federal Liberal Association","2009",
"18538","Davenport Federal Liberal Association","2010",
"20094","Davenport Federal Liberal Association","2011",
"23369","Davenport Federal Liberal Association","2012",
"24788","Davenport Federal Liberal Association","2013",
"27926","Davenport Federal Liberal Association","2014",
"26276","Davenport Federal Liberal Association","2014",
"11682","Davenport Federal NDP Riding Association","2007",
"13666","Davenport Federal NDP Riding Association","2008",
"16956","Davenport Federal NDP Riding Association","2009",
"18624","Davenport Federal NDP Riding Association","2010",
"20176","Davenport Federal NDP Riding Association","2011",
"23451","Davenport Federal NDP Riding Association","2012",
"24869","Davenport Federal NDP Riding Association","2013",
"26357","Davenport Federal NDP Riding Association","2014",
"27347","Delta Conservative Association","2014",
"27358","Delta Federal Liberal Association","2014",
"12317","Delta--Richmond East Conservative Association","2007",
"14297","Delta--Richmond East Conservative Association","2008",
"17586","Delta--Richmond East Conservative Association","2009",
"19255","Delta--Richmond East Conservative Association","2010",
"20795","Delta--Richmond East Conservative Association","2011",
"24066","Delta--Richmond East Conservative Association","2012",
"25473","Delta--Richmond East Conservative Association","2013",
"26958","Delta--Richmond East Conservative Association","2014",
"12429","Delta--Richmond East Federal Liberal Association","2007",
"14408","Delta--Richmond East Federal Liberal Association","2008",
"17697","Delta--Richmond East Federal Liberal Association","2009",
"19366","Delta--Richmond East Federal Liberal Association","2010",
"20902","Delta--Richmond East Federal Liberal Association","2011",
"24171","Delta--Richmond East Federal Liberal Association","2012",
"25577","Delta--Richmond East Federal Liberal Association","2013",
"27062","Delta--Richmond East Federal Liberal Association","2014",
"12227","Delta--Richmond East Federal NDP Riding Association","2007",
"14207","Delta--Richmond East Federal NDP Riding Association","2008",
"17496","Delta--Richmond East Federal NDP Riding Association","2009",
"19165","Delta--Richmond East Federal NDP Riding Association","2010",
"20706","Delta--Richmond East Federal NDP Riding Association","2011",
"23978","Delta--Richmond East Federal NDP Riding Association","2012",
"25389","Delta--Richmond East Federal NDP Riding Association","2013",
"26875","Delta--Richmond East Federal NDP Riding Association","2014",
"12235","Desnethé--Missinippi--Churchill River Conservative Association","2007",
"14215","Desnethé--Missinippi--Churchill River Conservative Association","2008",
"17504","Desnethé--Missinippi--Churchill River Conservative Association","2009",
"19173","Desnethé--Missinippi--Churchill River Conservative Association","2010",
"20714","Desnethé--Missinippi--Churchill River Conservative Association","2011",
"23986","Desnethé--Missinippi--Churchill River Conservative Association","2012",
"25397","Desnethé--Missinippi--Churchill River Conservative Association","2013",
"26883","Desnethé--Missinippi--Churchill River Conservative Association","2014",
"11799","Desnethé--Missinippi--Churchill River Federal Liberal Riding Association","2007",
"13783","Desnethé--Missinippi--Churchill River Federal Liberal Riding Association","2008",
"17073","Desnethé--Missinippi--Churchill River Federal Liberal Riding Association","2009",
"18741","Desnethé--Missinippi--Churchill River Federal Liberal Riding Association","2010",
"20292","Desnethé--Missinippi--Churchill River Federal Liberal Riding Association","2011",
"23564","Desnethé--Missinippi--Churchill River Federal Liberal Riding Association","2012",
"24979","Desnethé--Missinippi--Churchill River Federal Liberal Riding Association","2013",
"26466","Desnethé--Missinippi--Churchill River Federal Liberal Riding Association","2014",
"11888","Desnethé--Missinippi--Churchill River NDP Riding Association","2007",
"13872","Desnethé--Missinippi--Churchill River NDP Riding Association","2008",
"17162","Desnethé--Missinippi--Churchill River NDP Riding Association","2009",
"18830","Desnethé--Missinippi--Churchill River NDP Riding Association","2010",
"20381","Desnethé--Missinippi--Churchill River NDP Riding Association","2011",
"23653","Desnethé--Missinippi--Churchill River NDP Riding Association","2012",
"25068","Desnethé--Missinippi--Churchill River NDP Riding Association","2013",
"26555","Desnethé--Missinippi--Churchill River NDP Riding Association","2014",
"12123","Don Valley East Conservative Association","2007",
"14106","Don Valley East Conservative Association","2008",
"17395","Don Valley East Conservative Association","2009",
"19064","Don Valley East Conservative Association","2010",
"20606","Don Valley East Conservative Association","2011",
"23878","Don Valley East Conservative Association","2012",
"25291","Don Valley East Conservative Association","2013",
"27335","Don Valley East Conservative Association","2014",
"26777","Don Valley East Conservative Association","2014",
"11597","Don Valley East Federal Liberal Association","2007",
"13581","Don Valley East Federal Liberal Association","2008",
"16871","Don Valley East Federal Liberal Association","2009",
"18539","Don Valley East Federal Liberal Association","2010",
"20095","Don Valley East Federal Liberal Association","2011",
"23370","Don Valley East Federal Liberal Association","2012",
"24789","Don Valley East Federal Liberal Association","2013",
"26277","Don Valley East Federal Liberal Association","2014",
"27472","Don Valley East Federal Liberal Association","2014",
"11912","Don Valley East Federal NDP Riding Association","2007",
"13896","Don Valley East Federal NDP Riding Association","2008",
"17186","Don Valley East Federal NDP Riding Association","2009",
"18854","Don Valley East Federal NDP Riding Association","2010",
"20404","Don Valley East Federal NDP Riding Association","2011",
"23676","Don Valley East Federal NDP Riding Association","2012",
"25091","Don Valley East Federal NDP Riding Association","2013",
"26578","Don Valley East Federal NDP Riding Association","2014",
"12496","Don Valley East GPC EDA","2007",
"14475","Don Valley East GPC EDA","2008",
"17764","Don Valley East GPC EDA","2009",
"19432","Don Valley East GPC EDA","2010",
"27639","Don Valley North Conservative Association","2014",
"27450","Don Valley North Federal Liberal Association","2014",
"12139","Don Valley West Conservative Association","2007",
"14122","Don Valley West Conservative Association","2008",
"17411","Don Valley West Conservative Association","2009",
"19080","Don Valley West Conservative Association","2010",
"20622","Don Valley West Conservative Association","2011",
"23894","Don Valley West Conservative Association","2012",
"25307","Don Valley West Conservative Association","2013",
"26793","Don Valley West Conservative Association","2014",
"27340","Don Valley West Conservative Association","2014",
"12393","Don Valley West Federal Liberal Association","2007",
"14372","Don Valley West Federal Liberal Association","2008",
"17661","Don Valley West Federal Liberal Association","2009",
"19330","Don Valley West Federal Liberal Association","2010",
"20867","Don Valley West Federal Liberal Association","2011",
"24137","Don Valley West Federal Liberal Association","2012",
"25543","Don Valley West Federal Liberal Association","2013",
"27028","Don Valley West Federal Liberal Association","2014",
"27473","Don Valley West Federal Liberal Association","2014",
"11759","Don Valley West Federal NDP Riding Association","2007",
"13743","Don Valley West Federal NDP Riding Association","2008",
"17033","Don Valley West Federal NDP Riding Association","2009",
"11970","Don Valley West Green Party Association","2007",
"13953","Don Valley West Green Party Association","2008",
"17243","Don Valley West Green Party Association","2009",
"18912","Don Valley West Green Party Association","2010",
"20458","Don Valley West Green Party Association","2011",
"23730","Don Valley West Green Party Association","2012",
"25143","Don Valley West Green Party Association","2013",
"26629","Don Valley West Green Party Association","2014",
"21186","Don Valley West NDP Federal Riding Association","2011",
"24433","Don Valley West NDP Federal Riding Association","2012",
"25828","Don Valley West NDP Federal Riding Association","2013",
"27294","Don Valley West NDP Federal Riding Association","2014",
"27624","Dorval--Lachine--LaSalle Conservative Association","2014",
"27365","Dorval--Lachine--LaSalle Federal Liberal Association","2014",
"12131","Dufferin--Caledon Conservative Association","2007",
"14114","Dufferin--Caledon Conservative Association","2008",
"17403","Dufferin--Caledon Conservative Association","2009",
"19072","Dufferin--Caledon Conservative Association","2010",
"20614","Dufferin--Caledon Conservative Association","2011",
"23886","Dufferin--Caledon Conservative Association","2012",
"25299","Dufferin--Caledon Conservative Association","2013",
"26785","Dufferin--Caledon Conservative Association","2014",
"12390","Dufferin--Caledon Federal Green Party Association","2007",
"14369","Dufferin--Caledon Federal Green Party Association","2008",
"17658","Dufferin--Caledon Federal Green Party Association","2009",
"19327","Dufferin--Caledon Federal Green Party Association","2010",
"20865","Dufferin--Caledon Federal Green Party Association","2011",
"24135","Dufferin--Caledon Federal Green Party Association","2012",
"25541","Dufferin--Caledon Federal Green Party Association","2013",
"27026","Dufferin--Caledon Federal Green Party Association","2014",
"11598","Dufferin--Caledon Federal Liberal Association","2007",
"13582","Dufferin--Caledon Federal Liberal Association","2008",
"16872","Dufferin--Caledon Federal Liberal Association","2009",
"18540","Dufferin--Caledon Federal Liberal Association","2010",
"20096","Dufferin--Caledon Federal Liberal Association","2011",
"23371","Dufferin--Caledon Federal Liberal Association","2012",
"24790","Dufferin--Caledon Federal Liberal Association","2013",
"26278","Dufferin--Caledon Federal Liberal Association","2014",
"27945","Dufferin--Caledon Federal Liberal Association","2014",
"12463","Dufferin--Caledon Federal NDP Riding Association","2007",
"14442","Dufferin--Caledon Federal NDP Riding Association","2008",
"17731","Dufferin--Caledon Federal NDP Riding Association","2009",
"19400","Dufferin--Caledon Federal NDP Riding Association","2010",
"20936","Dufferin--Caledon Federal NDP Riding Association","2011",
"24203","Dufferin--Caledon Federal NDP Riding Association","2012",
"25609","Dufferin--Caledon Federal NDP Riding Association","2013",
"27093","Dufferin--Caledon Federal NDP Riding Association","2014",
"12121","Durham Conservative Association","2007",
"14104","Durham Conservative Association","2008",
"17393","Durham Conservative Association","2009",
"19062","Durham Conservative Association","2010",
"20604","Durham Conservative Association","2011",
"23876","Durham Conservative Association","2012",
"25289","Durham Conservative Association","2013",
"26775","Durham Conservative Association","2014",
"27635","Durham Conservative Association","2014",
"12389","Durham Federal Green Party Association","2007",
"14368","Durham Federal Green Party Association","2008",
"17657","Durham Federal Green Party Association","2009",
"19326","Durham Federal Green Party Association","2010",
"20864","Durham Federal Green Party Association","2011",
"24134","Durham Federal Green Party Association","2012",
"25540","Durham Federal Green Party Association","2013",
"27025","Durham Federal Green Party Association","2014",
"12379","Durham Federal Liberal Association","2007",
"14358","Durham Federal Liberal Association","2008",
"17647","Durham Federal Liberal Association","2009",
"19316","Durham Federal Liberal Association","2010",
"20854","Durham Federal Liberal Association","2011",
"24124","Durham Federal Liberal Association","2012",
"25530","Durham Federal Liberal Association","2013",
"27015","Durham Federal Liberal Association","2014",
"27471","Durham Federal Liberal Association","2014",
"11683","Durham Federal NDP Riding Association","2007",
"13667","Durham Federal NDP Riding Association","2008",
"16957","Durham Federal NDP Riding Association","2009",
"18625","Durham Federal NDP Riding Association","2010",
"20177","Durham Federal NDP Riding Association","2011",
"23452","Durham Federal NDP Riding Association","2012",
"24870","Durham Federal NDP Riding Association","2013",
"26358","Durham Federal NDP Riding Association","2014",
"21185","EDA-CPC Bourassa","2011",
"24432","EDA-CPC Bourassa","2012",
"25827","EDA-CPC Bourassa","2013",
"27293","EDA-CPC Bourassa","2014",
"12549","Edmonton Centre Christian Heritage Party Electoral District Association","2007",
"14527","Edmonton Centre Christian Heritage Party Electoral District Association","2008",
"12059","Edmonton Centre Conservative Association","2007",
"14042","Edmonton Centre Conservative Association","2008",
"17331","Edmonton Centre Conservative Association","2009",
"19000","Edmonton Centre Conservative Association","2010",
"20543","Edmonton Centre Conservative Association","2011",
"23815","Edmonton Centre Conservative Association","2012",
"25228","Edmonton Centre Conservative Association","2013",
"26714","Edmonton Centre Conservative Association","2014",
"14882","Edmonton Centre Federal Green Party Association","2008",
"17955","Edmonton Centre Federal Green Party Association","2009",
"19612","Edmonton Centre Federal Green Party Association","2010",
"21118","Edmonton Centre Federal Green Party Association","2011",
"24374","Edmonton Centre Federal Green Party Association","2012",
"25776","Edmonton Centre Federal Green Party Association","2013",
"27251","Edmonton Centre Federal Green Party Association","2014",
"11614","Edmonton Centre Federal Liberal Association","2007",
"13598","Edmonton Centre Federal Liberal Association","2008",
"16888","Edmonton Centre Federal Liberal Association","2009",
"18556","Edmonton Centre Federal Liberal Association","2010",
"20112","Edmonton Centre Federal Liberal Association","2011",
"23387","Edmonton Centre Federal Liberal Association","2012",
"24806","Edmonton Centre Federal Liberal Association","2013",
"27613","Edmonton Centre Federal Liberal Association","2014",
